born | C:BIRTH
confirmed | C:STATEMENT
regarded | C:STATEMENT
adding that | C:STATEMENT
argued | C:STATEMENT
called for | C:STATEMENT
declared | C:STATEMENT
recognises | C:STATEMENT
warning that | C:STATEMENT
recognise | C:STATEMENT
promised | C:STATEMENT
announced | C:STATEMENT
reminded | C:STATEMENT
insist | C:STATEMENT
insisted | C:STATEMENT
insists | C:STATEMENT
endorsed | C:STATEMENT
endorse | C:STATEMENT
endorses | C:STATEMENT
respond | C:STATEMENT
responds | C:STATEMENT
responded | C:STATEMENT
briefed | C:STATEMENT
discuss | C:STATEMENT
discusses | C:STATEMENT
discussed | C:STATEMENT
declined to | C:STATEMENT
declines to | C:STATEMENT
denounced | C:STATEMENT
decline to | C:STATEMENT
called | C:STATEMENT
calls | C:STATEMENT
expressed | C:STATEMENT
expresses | C:STATEMENT
express | C:STATEMENT
advise  | C:STATEMENT
advises | C:STATEMENT
advised | C:STATEMENT
sends a clear message | C:STATEMENT
expressing concern | C:STATEMENT
deemed this | C:STATEMENT
think | C:STATEMENT
thinks | C:STATEMENT
thought | C:STATEMENT
believe | C:STATEMENT
believes | C:STATEMENT
believed | C:STATEMENT
dissatisfied | C:STATEMENT
supporter of | C:STATEMENT
vows | C:STATEMENT
vowed | C:STATEMENT
favours | C:STATEMENT
favors | C:STATEMENT
favor | C:STATEMENT
suggesting that | C:STATEMENT
suggested that | C:STATEMENT
saying | C:STATEMENT
suggested to | C:STATEMENT
suggesting to | C:STATEMENT
opposes | C:STATEMENT
opposed | C:STATEMENT
receives blessing from | C:STATEMENT
received blessing from | C:STATEMENT
disputes | C:STATEMENT
disputed | C:STATEMENT
dispute | C:STATEMENT
addresses | C:STATEMENT
addressed | C:STATEMENT
find that | C:STATEMENT
found that | C:STATEMENT
finds that | C:STATEMENT
pledges | C:STATEMENT
pledged | C:STATEMENT
describes | C:STATEMENT
described | C:STATEMENT
describe | C:STATEMENT
boycotted | C:STATEMENT
boycotts | C:STATEMENT
boycott | C:STATEMENT
quoted by | C:STATEMENT
quotes | C:STATEMENT
response from | C:STATEMENT
convinced | C:STATEMENT
promising to | C:STATEMENT
promised to | C:STATEMENT
alleged that | C:STATEMENT
create | C:CREATION
creates | C:CREATION
created | C:CREATION
launch | C:CREATION
launched | C:CREATION
launches | C:CREATION
develop | C:CREATION
develops | C:CREATION
developed | C:CREATION
wrote | C:CREATION
writes | C:CREATION
written | C:CREATION
implemented | C:CREATION
implements | C:CREATION
implement | C:CREATION
painted | C:CREATION
paints | C:CREATION
paint | C:CREATION
produce | C:CREATION
produced | C:CREATION
produces | C:CREATION
started | C:CREATION
starts | C:CREATION
start | C:CREATION
made | C:CREATION
host | C:CREATION
hosts | C:CREATION
hosted | C:CREATION
turned it into | C:CREATION
turn into | C:CREATION
run | C:CREATION
ran | C:CREATION
raised the idea | C:STATEMENT
said | C:STATEMENT
says | C:STATEMENT
recognize | C:STATEMENT
told | C:STATEMENT
say | C:STATEMENT
will recognize | C:STATEMENT
said in | C:STATEMENT
warned | C:STATEMENT
recognizes | C:STATEMENT
said on | C:STATEMENT
said that | C:STATEMENT
recognized | C:STATEMENT
condemned | C:STATEMENT
agreed to | C:STATEMENT
announced | C:STATEMENT
promised to	| C:STATEMENT
says in	| C:STATEMENT
repeated | C:STATEMENT
believes | C:STATEMENT
criticized | C:STATEMENT
added that | C:STATEMENT
saying that | C:STATEMENT
has spoken of | C:STATEMENT
insisted | C:STATEMENT
declares | C:STATEMENT
declared | C:STATEMENT
spoke about the potential for | C:STATEMENT
questioned the wisdom of | C:STATEMENT
reported | C:STATEMENT
reports | C:STATEMENT
report | C:STATEMENT
warned that | C:STATEMENT
confirmed | C:STATEMENT
has announced that | C:STATEMENT
say in | C:STATEMENT
adding that | C:STATEMENT
argued that | C:STATEMENT
called for | C:STATEMENT
declared that | C:STATEMENT
recognises | C:STATEMENT
warning that | C:STATEMENT
will recognise | C:STATEMENT
promised during	| C:STATEMENT
announced that | C:STATEMENT
spoke by telephone on | C:INTERACTION
spoke by telephone with | C:INTERACTION
reminded | C:STATEMENT
has announced that | C:STATEMENT
would insist that issues of | C:STATEMENT
endorsed | C:STATEMENT
respond to | C:STATEMENT
tell | C:STATEMENT
say the allegations against | C:STATEMENT
has promised to | C:STATEMENT
briefed on | C:STATEMENT
meet with | C:CONTACT_WITH
discuss his plan to | C:STATEMENT
declined to | C:STATEMENT
denounced | C:STATEMENT
called on | C:STATEMENT
spoke on | C:STATEMENT
says she plans to | C:STATEMENT
argue that | C:STATEMENT
has expressed an openness to | C:STATEMENT
advise him of | C:STATEMENT
spoke with | C:STATEMENT
spoke with | C:STATEMENT
sends a clear message to | C:STATEMENT
expressing concern about | C:STATEMENT
said from | C:STATEMENT
say that | C:STATEMENT
insisted that | C:STATEMENT
deemed | C:STATEMENT
might recognize | C:STATEMENT
met with | C:INTERACTION
spoke with | C:INTERACTION
discussed with | C:INTERACTION
talked with | C:INTERACTION
argued with | C:INTERACTION
had an appointment | C:INTERACTION
collaborated with | C:INTERACTION
maintains relationship | C:INTERACTION
maintains relationships | C:INTERACTION
maintain relationship | C:INTERACTION
maintain relationships | C:INTERACTION
was introduced to | C:INTERACTION
is a partner with | C:INTERACTION
was partner with | C:INTERACTION
has ties to | C:INTERACTION
had ties to | C:INTERACTION
invited | C:INTERACTION
invites | C:INTERACTION
confront | C:INTERACTION
confronted | C:INTERACTION
competed with | C:INTERACTION
competes with | C:INTERACTION
move to	| C:LOCATION-RELATED
moved to | C:LOCATION-RELATED
lived in | C:LOCATION-RELATED
lives in | C:LOCATION-RELATED
spent childhood in | C:LOCATION-RELATED
later returned in | C:LOCATION-RELATED
lives near | C:LOCATION-RELATED
traveled to | C:LOCATION-RELATED
emigrated | C:LOCATION-RELATED
had migrated to | C:LOCATION-RELATED
transferred from | C:LOCATION-RELATED
arrived in | C:LOCATION-RELATED
lives on | C:LOCATION-RELATED
had gone to | C:LOCATION-RELATED
lived before moving to | C:LOCATION-RELATED
had visited | C:LOCATION-RELATED
stay in | C:LOCATION-RELATED
remained in | C:LOCATION-RELATED
stayed in | C:LOCATION-RELATED
was raised in | C:LOCATION-RELATED
has returned home to | C:LOCATION-RELATED
flew to | C:LOCATION-RELATED
flies to | C:LOCATION-RELATED
returned to | C:LOCATION-RELATED
residing in | C:LOCATION-RELATED
settled in | C:LOCATION-RELATED
released an album | C:CREATION
released the album | C:CREATION
releases an album | C:CREATION
releases the album | C:CREATION
filed | C:CREATION
released solo album | C:CREATION
released debut album | C:CREATION
wrote | C:CREATION
written | C:CREATION
has released an album | C:CREATION
has released the album | C:CREATION
has released solo album | C:CREATION
has released debut album | C:CREATION
has written | C:CREATION
had released an album | C:CREATION
had released the album | C:CREATION
had released solo album | C:CREATION
had released debut album | C:CREATION
had written | C:CREATION
founded | C:CREATION
performed | C:CREATION
worked on | C:CREATION
has worked on | C:CREATION
had worked on | C:CREATION
recorded | C:CREATION
released | C:CREATION
created | C:CREATION
is author | C:CREATION
was author | C:CREATION
published | C:CREATION
is cofounder | C:CREATION
was cofounder | C:CREATION
directed | C:CREATION
was writing | C:CREATION
is writing | C:CREATION
published | C:CREATION
publishing | C:CREATION
writing | C:CREATION
composed | C:CREATION
composing | C:CREATION
recording | C:CREATION
formed | C:CREATION
cast in | C:CREATION
collaborated on | C:CREATION
designed | C:CREATION
cowrote | C:CREATION
cowritten | C:CREATION
produced | C:CREATION
appeared in | C:CREATION
acted on | C:CREATION
acted in  | C:CREATION
made guest appearances on | C:CREATION
gueststarred | C:CREATION
had recurring roles in | C:CREATION
made appearances on | C:CREATION
starred in | C:CREATION
starred on | C:CREATION
design | C:CREATION
designed | C:CREATION
is featured at | C:CREATION
was featured in | C:CREATION
been featured in | C:CREATION
be featured in | C:CREATION
been featured on | C:CREATION
be featured on | C:CREATION
been featured as | C:CREATION
be featured as | C:CREATION
had success with | C:CREATION
built | C:CREATION
developed | C:CREATION
cowrote | C:CREATION
cowritten | C:CREATION
co-wrote | C:CREATION
co-written | C:CREATION
played in | C:CREATION
played at | C:CREATION
played | C:CREATION
contributed | C:CREATION
was founder of | C:CREATION
working on | C:CREATION
performed live at | C:CREATION
playing | C:CREATION
gave interview | C:CREATION
give interview | C:CREATION
scored | C:CREATION
sang | C:CREATION
composed | C:CREATION
painted | C:CREATION
established | C:CREATION
debuted | C:CREATION
editor of | C:CREATION
presented | C:CREATION
founding member of | C:CREATION
had	been interviewed | C:CREATION
has	been interviewed | C:CREATION
was interviewed | C:CREATION
interviewed on | C:CREATION
cocreator of | C:CREATION
starred in  | C:CREATION
involved for | C:ENGAGEMENT
involved in | C:ENGAGEMENT
involved with | C:ENGAGEMENT
has chaired | C:ENGAGEMENT
is chairing | C:ENGAGEMENT
involved at | C:ENGAGEMENT
became head of | C:ENGAGEMENT
became head at | C:ENGAGEMENT
is head of | C:ENGAGEMENT
was head of | C:ENGAGEMENT
become head of | C:ENGAGEMENT
was head at | C:ENGAGEMENT
became head for | C:ENGAGEMENT
made head at | C:ENGAGEMENT
become head at | C:ENGAGEMENT
was head of | C:ENGAGEMENT
was head for | C:ENGAGEMENT
was working as | C:ENGAGEMENT
was working in | C:ENGAGEMENT
working in | C:ENGAGEMENT
is working as | C:ENGAGEMENT
is working in | C:ENGAGEMENT
been working as | C:ENGAGEMENT
been working in | C:ENGAGEMENT
served at | C:ENGAGEMENT
served for | C:ENGAGEMENT
served as | C:ENGAGEMENT
served to | C:ENGAGEMENT
served with | C:ENGAGEMENT
worked for | C:ENGAGEMENT
worked at | C:ENGAGEMENT
takes office | C:ENGAGEMENT
took office | C:ENGAGEMENT
take office | C:ENGAGEMENT
took over position | C:ENGAGEMENT
hired by | C:ENGAGEMENT
was hired | C:ENGAGEMENT
member from | C:ENGAGEMENT
member until | C:ENGAGEMENT
member at | C:ENGAGEMENT
member as | C:ENGAGEMENT
member in | C:ENGAGEMENT
member of | C:ENGAGEMENT
member for | C:ENGAGEMENT
retired as president | C:ENGAGEMENT
was member | C:ENGAGEMENT
member during | C:ENGAGEMENT
became director | C:ENGAGEMENT
director at | C:ENGAGEMENT
director for | C:ENGAGEMENT
director of | C:ENGAGEMENT
director on | C:ENGAGEMENT
lead designer of | C:ENGAGEMENT
pastor of | C:ENGAGEMENT
pastor at | C:ENGAGEMENT
was chairman | C:ENGAGEMENT
was chairman in | C:ENGAGEMENT
inducted into | C:ENGAGEMENT
induct into | C:ENGAGEMENT
transferred from | C:ENGAGEMENT
chairman of | C:ENGAGEMENT
chairman in | C:ENGAGEMENT
became chairman | C:ENGAGEMENT
was editorinchief | C:ENGAGEMENT
editorinchief of | C:ENGAGEMENT
was given control of | C:ENGAGEMENT
engaged in | C:ENGAGEMENT
played a leading role in | C:ENGAGEMENT
attained the rank of | C:ENGAGEMENT
was elected | C:ENGAGEMENT
awarded | C:ACHIEVEMENT
nominated | C:ACHIEVEMENT
received nominations | C:ACHIEVEMENT
received nomination | C:ACHIEVEMENT
receive nominations | C:ACHIEVEMENT
receive nomination | C:ACHIEVEMENT
got a prize | C:ACHIEVEMENT
got prize | C:ACHIEVEMENT
won a prize | C:ACHIEVEMENT
won the prize | C:ACHIEVEMENT
win the prize | C:ACHIEVEMENT
won award | C:ACHIEVEMENT
accused of | C:LAW-RELATED
accused | C:LAW-RELATED
accuses | C:LAW-RELATED
accused | C:STATEMENT
accuses | C:STATEMENT
sue | C:LAW-RELATED
sued | C:LAW-RELATED
suing | C:LAW-RELATED
charges related to | C:LAW-RELATED
recognizing	| C:STATEMENT
according to | C:STATEMENT
spoke to | C:STATEMENT
spoke to | C:INTERACTION
siding with | C:STATEMENT
relocated to | C:LOCATION-RELATED 
relocated | C:LOCATION-RELATED
relocate | C:LOCATION-RELATED
located in | C:LOCATION-RELATED
relocates | C:LOCATION-RELATED
making | C:CREATION
meeting | C:INTERACTION	
make | C:CREATION
opposing | C:STATEMENT
issued | C:CREATION
declaring | C:STATEMENT
delivered | C:CREATION
praised | C:STATEMENT	
talks | C:INTERACTION
close relations with | C:INTERACTION
meeting with | C:INTERACTION
meets with | C:INTERACTION
meets | C:INTERACTION
recognising	| C:STATEMENT
talking about | C:STATEMENT
call for | C:STATEMENT
addressing | C:STATEMENT
announce | C:STATEMENT
relocating | C:LOCATION-RELATED
asks | C:STATEMENT
have urged | C:STATEMENT
achieve | C:CREATION
rethink | C:STATEMENT
appealed to | C:STATEMENT
coordinate a response to | C:STATEMENT
will sign | C:STATEMENT
would move its embassy from | C:LOCATION-RELATED
viewed as | C:STATEMENT
compared | C:STATEMENT
declare | C:STATEMENT
telling | C:STATEMENT
cited | C:STATEMENT
speak to | C:INTERACTION
partners | C:STATEMENT
allies | C:STATEMENT
regret | C:STATEMENT
condemning | C:STATEMENT
undermining | C:STATEMENT
protesting | C:STATEMENT
informed | C:STATEMENT
shifting the embassy from | C:LOCATION-RELATED
acknowledging that | C:STATEMENT
charged with | C:LAW-RELATED
decided to | C:STATEMENT
noted that | C:STATEMENT
speak to | C:INTERACTION
disagree | C:STATEMENT
follow suit | C:LAW-RELATED
has resumed his leadership role | C:ENGAGEMENT
pledging to | C:STATEMENT
spoke up | C:STATEMENT
encourages | C:STATEMENT
threatened to | C:STATEMENT
speaking after | C:STATEMENT
speaking on | C:STATEMENT
voiced concern about | C:STATEMENT
delivering any verdict about | C:LAW-RELATED
talks between | C:INTERACTION
cry out that | C:STATEMENT
paying little recognition to | C:STATEMENT
speaking up | C:STATEMENT
statement on | C:STATEMENT
commenting on | C:STATEMENT
concerns about | C:STATEMENT
have issued front page rebukes | C:STATEMENT
meeting at | C:LOCATION-RELATED
sent a letter to | C:INTERACTION
sent a letter to | C:CREATION
agreement between | C:INTERACTION
opted against | C:STATEMENT
posted online by | C:STATEMENT
talks with | C:INTERACTION
fear that | C:STATEMENT
determined that | C:STATEMENT
calling for | C:STATEMENT
will join | C:ENGAGEMENT
offered | C:STATEMENT
move into | C:LOCATION-RELATED
vote on | C:STATEMENT
stressed that | C:STATEMENT
maintained position of | C:STATEMENT
promise | C:STATEMENT
detailing | C:STATEMENT
relocation of | C:LOCATION-RELATED
set in motion | C:CREATION
will announce | C:STATEMENT
urged that | C:STATEMENT
disagreed with | C:STATEMENT
provide warning of | C:STATEMENT
visited | C:LOCATION-RELATED
protest the decision | C:STATEMENT
schools	 | C:EDUCATION
decided to | C:STATEMENT
announcement to | C:STATEMENT
peace deal between | C:INTERACTION
assured | C:STATEMENT
criticizing | C:STATEMENT
voiced strong opposition to | C:STATEMENT
disappointed with | C:STATEMENT
urged people | C:STATEMENT
provoke sentiments of | C:STATEMENT
is against | C:STATEMENT
explain it | C:STATEMENT
argues that | C:STATEMENT
holds the title of | C:EDUCATION
information about | C:STATEMENT
silent on | C:STATEMENT
announcement | C:STATEMENT
move by	| C:LOCATION-RELATED
unveil | C:STATEMENT
meeting with | C:INTERACTION
travel to | C:LOCATION-RELATED
traveled to | C:LOCATION-RELATED
travels to | C:LOCATION-RELATED
harsh words | C:STATEMENT
taking office | C:ENGAGEMENT
concerned about | C:STATEMENT
mentioning  | C:STATEMENT
partnered with | C:INTERACTION
invested significant effort in | C:CREATION
plays a central role in	| C:CREATION
acknowledgment of | C:STATEMENT
denies | C:STATEMENT
acknowledge | C:STATEMENT
negotiations between | C:LAW-RELATED
wished that | C:STATEMENT
refused to | C:STATEMENT
accept | C:STATEMENT
insisting to | C:STATEMENT
harsh words over | C:STATEMENT
conflict between | C:INTERACTION
lobbied for | C:STATEMENT
announces | C:STATEMENT
followed suit | C:LAW-RELATED
undermine | C:STATEMENT
had some skeptical questions about | C:STATEMENT
harsh words over | C:STATEMENT
agreeing to | C:STATEMENT
taking office in  | C:ENGAGEMENT
had mentioned | C:STATEMENT
raising concerns | C:STATEMENT
speaking in | C:STATEMENT
interview with | C:INTERACTION
detailing the planning for | C:STATEMENT
putting his own job at | C:ENGAGEMENT
accompanied by | C:INTERACTION
impressed with | C:STATEMENT
tensions in | C:LOCATION-RELATED
elaborate on | C:STATEMENT
speak about | C:STATEMENT
move for | C:LOCATION-RELATED
has requested for | C:STATEMENT
will serve for | C:ENGAGEMENT
had signed | C:STATEMENT
announce plans to | C:STATEMENT
blaming both sides for | C:STATEMENT
has informed | C:STATEMENT
looks forward | C:STATEMENT
meeting | C:INTERACTION
speaks in | C:STATEMENT
triggered a worldwide chorus of | C:STATEMENT
tossed a hand grenade into | C:STATEMENT
issued his own impassioned defense of | C:STATEMENT
refusing to | C:STATEMENT
lamented | C:STATEMENT
telephoned | C:INTERACTION
condemnation from | C:STATEMENT
process between | C:LAW-RELATED
sign a peace treaty with | C:INTERACTION
praise for | C:STATEMENT
acknowledging opposition to | C:STATEMENT
arguing that | C:STATEMENT
pleaded guilty in | C:LAW-RELATED
bring their relatives to | C:LOCATION-RELATED
has the backing of | C:STATEMENT
emphasized that | C:STATEMENT
arrest in | C:LAW-RELATED
working with | C:ENGAGEMENT
working closely with | C:ENGAGEMENT
working for | C:ENGAGEMENT
working at | C:ENGAGEMENT
working towards | C:ENGAGEMENT
were working to | C:ENGAGEMENT
working toward | C:ENGAGEMENT
working to | C:ENGAGEMENT
working towards | C:ENGAGEMENT
working directly with | C:ENGAGEMENT
working constructively with | C:ENGAGEMENT
working tirelessly in | C:ENGAGEMENT
working during | C:ENGAGEMENT
declare | C:STATEMENT
following suit | C:LAW-RELATED
's decision | C:STATEMENT
urged | C:STATEMENT
calling for the impeachment of | C:STATEMENT
will ignite violence in | C:LOCATION-RELATED
will ignite violence in | C:VIOLENCE-INCIDENT
served in | C:ENGAGEMENT
contacted | C:INTERACTION
criticism on | C:STATEMENT
voiced alarm at | C:LOCATION-RELATED
mediator between | C:INTERACTION
pledge to | C:STATEMENT
promote | C:STATEMENT
hear arguments in | C:STATEMENT
endorsement of | C:STATEMENT
strengthen the solidarity between | C:INTERACTION
agreement between | C:INTERACTION
begging for | C:STATEMENT
suggest that | C:STATEMENT
pleaded guilty to | C:LAW-RELATED
met with | C:INTERACTION
calling for | C:STATEMENT
speak again | C:STATEMENT
travel to | C:LOCATION-RELATED
would halt contacts with | C:INTERACTION
deliberates over | C:STATEMENT
speaks at | C:PARTICIPATION 
shook hands | C:INTERACTION
meeting of | C:INTERACTION
accord that | C:STATEMENT
recommended | C:STATEMENT
reflects | C:STATEMENT
cooperate with | C:INTERACTION
provide enough information to | C:STATEMENT
request that | C:STATEMENT
harsh words over | C:STATEMENT
taking a position on | C:STATEMENT
speaking with | C:INTERACTION
fears of | C:STATEMENT
inform them of | C:STATEMENT
talks that | C:STATEMENT
blame | C:STATEMENT
announce | C:STATEMENT
lying to | C:STATEMENT
lie that | C:STATEMENT
vowing that | C:STATEMENT
stated disdain for | C:STATEMENT
threatened the credibility of | C:STATEMENT
describing how | C:STATEMENT
negotiated between | C:INTERACTION
warning of | C:STATEMENT
denied that | C:STATEMENT
reflecting | C:STATEMENT
keep the embassy in | C:LOCATION-RELATED
have an embassy structure in | C:LOCATION-RELATED
complained | C:STATEMENT
encouraging | C:STATEMENT
voiced | C:STATEMENT
disclose | C:STATEMENT
normalizing relations with | C:INTERACTION
speaks during | C:STATEMENT
urged him to | C:STATEMENT
concluded that | C:STATEMENT
signed by | C:STATEMENT
denounce | C:STATEMENT
protesting in | C:STATEMENT
sentence for | C:LAW-RELATED
vote against | C:STATEMENT
quoted | C:STATEMENT
compared to | C:STATEMENT
cooperating with | C:INTERACTION
concern that | C:STATEMENT
explained | C:STATEMENT
review of | C:STATEMENT
withdrawing from | C:STATEMENT
decide | C:STATEMENT
contended that | C:STATEMENT
raising doubts | C:STATEMENT
condemn | C:STATEMENT
blaming | C:STATEMENT
charges against	 | C:LAW-RELATED
denouncing | C:STATEMENT
protests at | C:STATEMENT
radical departure from | C:STATEMENT
goes against | C:STATEMENT
questions about | C:STATEMENT
confident in | C:STATEMENT
voted for | C:STATEMENT
revealed | C:STATEMENT
thanked | C:STATEMENT
relocation for | C:LOCATION-RELATED
appointed | C:ENGAGEMENT
talks between | C:INTERACTION
criticizes | C:STATEMENT
visit to | C:LOCATION-RELATED
opted against | C:STATEMENT
stating that | C:STATEMENT
highlights accusations against | C:LAW-RELATED
play any role in | C:ENGAGEMENT
debating between | C:INTERACTION
met last week with | C:INTERACTION
meeting between | C:INTERACTION
meet to | C:INTERACTION
shared the decision with | C:INTERACTION
shared the decision with | C:STATEMENT
reflect a departure from | C:STATEMENT
pledge to | C:STATEMENT
decision to | C:STATEMENT
his decision on | C:STATEMENT
travel to | C:LOCATION-RELATED
moved from | C:LOCATION-RELATED
give them guidance on | C:STATEMENT
declaration of | C:STATEMENT
pledge | C:STATEMENT
stressing his opposition to | C:STATEMENT
is considering | C:STATEMENT
announce on | C:STATEMENT
thinking that | C:STATEMENT
reaffirm that | C:STATEMENT
contrasted sharply with | C:STATEMENT
statements from | C:STATEMENT
should be resolved through peace negotiations between | C:INTERACTION
endorsing | C:STATEMENT
meet on	| C:INTERACTION
relocating the embassy from | C:LOCATION-RELATED
announcement | C:STATEMENT
